x,y
97,65
48,9
84,98
63,82
56,15
6,87
1,40
53,38
95,19
4,41
8,80
72,26
94,6
26,99
47,25
26,71
34,78
46,55
5,84
93,79
62,92
19,8
20,82
42,94
43,17
100,30
13,80
70,26
20,1
51,28
55,26
70,76
74,37
23,78
22,35
16,38
57,81
5,3
8,86
13,51
38,73
38,51
5,69
77,5
24,53
52,68
29,5
1,52
20,74
8,33
54,81
76,7
10,29
3,35
20,26
32,78
13,51
89,2
57,6
72,18
60,16
17,47
19,1
41,9
55,64
14,69
62,35
58,54
11,43
6,87
94,6
61,22
51,91
35,73
50,1
58,88
13,17
2,2
34,59
90,86
90,54
80,63
20,97
4,18
89,26
28,22
23,82
91,100
66,58
63,70
96,67
59,32
33,39
11,43
60,89
98,65
50,6
85,52
88,57
47,68
