x,y
40,57
57,60
72,30
63,61
46,58
67,48
88,20
27,36
73,15
66,57
94,8
41,61
29,20
17,29
79,60
71,59
20,50
33,48
45,80
38,5
73,50
31,60
23,91
21,84
16,38
21,56
68,51
52,92
52,4
46,31
19,82
68,62
35,24
29,21
45,96
90,70
34,14
37,32
18,48
29,39
57,35
56,69
83,82
74,87
51,11
91,53
94,6
47,81
91,75
82,44
40,69
27,78
45,75
68,63
88,16
92,85
63,23
45,82
56,76
3,16
30,56
73,12
75,92
82,96
8,49
88,62
58,20
41,54
71,91
25,76
35,10
32,26
61,17
57,37
87,90
13,11
99,54
15,41
63,69
68,46
86,48
51,59
33,62
94,25
72,9
76,63
5,20
25,35
39,29
55,63
14,76
81,14
8,62
80,85
94,32
10,48
4,15
59,52
58,95
26,11
