x,y
28,96
98,7
96,88
85,29
51,3
58,81
61,40
47,15
54,94
65,40
83,88
57,86
47,33
88,84
17,62
27,18
79,31
36,94
93,44
39,94
51,56
97,13
56,24
3,20
64,23
49,48
76,97
1,53
58,47
35,86
7,54
89,71
73,72
30,16
29,63
54,30
56,75
89,87
4,17
35,34
46,24
89,8
74,46
17,35
24,82
90,18
85,42
59,55
32,37
46,70
41,50
28,100
13,11
54,18
14,98
6,94
35,56
50,81
80,11
38,93
95,86
24,53
7,35
90,60
37,84
83,66
79,97
91,11
51,92
43,60
49,27
5,66
38,6
68,30
59,100
37,90
37,80
27,92
21,66
95,86
37,44
83,19
47,22
5,90
25,45
87,93
35,10
42,92
71,24
75,49
91,20
6,18
45,39
50,38
69,57
83,93
76,27
97,94
10,6
79,91
