x,y
35,29
96,17
9,60
78,54
79,60
88,64
39,97
3,38
76,54
14,79
62,26
81,83
36,34
74,96
74,32
53,6
63,43
24,54
75,88
76,53
90,64
72,60
79,67
17,27
75,41
38,99
73,2
22,39
28,16
95,10
97,71
69,38
100,50
67,38
32,31
19,44
20,2
34,22
55,82
79,14
12,60
25,2
22,72
35,47
70,6
22,66
61,50
18,28
25,56
16,57
83,50
65,94
42,24
6,39
11,1
11,53
63,70
63,89
50,8
3,4
7,58
96,10
19,30
82,24
81,79
98,51
67,54
85,58
93,94
45,30
67,74
83,48
87,1
94,71
25,2
24,6
1,92
33,65
11,66
90,47
97,92
34,74
22,64
64,61
58,100
22,38
39,36
42,87
1,44
38,15
21,25
28,35
47,3
51,40
51,2
29,96
92,41
5,89
87,54
48,37
