x,y
82,99
57,72
13,99
48,39
65,30
31,87
80,5
47,53
73,85
94,56
79,5
56,80
87,19
31,38
95,58
15,19
44,23
33,79
70,31
73,65
80,71
49,92
62,89
86,14
86,72
96,80
28,25
18,6
15,46
19,2
32,94
90,90
80,11
43,75
7,34
12,10
6,41
91,87
32,79
60,78
100,54
20,49
43,90
83,81
31,28
36,30
54,76
66,31
82,27
57,63
1,99
15,19
21,72
1,45
100,28
61,87
76,36
76,69
80,2
31,55
32,85
39,48
91,95
17,81
77,32
63,23
11,87
91,52
48,28
22,89
55,16
79,68
50,77
91,64
87,16
56,69
24,19
96,28
11,46
28,32
14,67
60,46
26,5
22,40
97,79
32,97
58,99
8,69
71,76
9,28
48,78
61,53
25,5
34,56
53,45
4,9
76,18
40,30
85,4
55,79
