x,y
40,97
90,100
24,87
65,97
72,58
37,82
89,81
71,81
25,36
68,63
12,7
99,49
79,19
8,71
25,46
72,33
26,78
99,82
10,83
88,18
23,74
71,18
33,60
71,48
15,61
54,39
38,85
29,37
78,44
50,9
55,70
23,42
60,51
51,97
9,49
32,73
49,55
55,67
49,20
47,62
97,16
62,33
49,46
79,55
43,55
68,28
8,42
99,3
18,66
43,97
38,59
75,86
7,47
68,39
66,88
21,39
4,96
87,15
65,2
66,95
19,33
13,23
23,92
82,50
79,45
62,64
87,28
72,45
31,60
27,36
88,12
78,67
1,76
74,18
29,11
43,35
60,8
55,99
99,43
31,15
4,81
67,74
86,42
13,4
23,29
3,63
20,53
82,30
85,79
9,52
55,10
2,78
43,27
62,54
57,2
98,45
65,58
32,21
42,82
26,4
