x,y
35,19
20,70
81,21
71,52
16,60
25,36
81,31
45,51
41,84
55,84
69,13
9,93
23,23
25,89
42,65
50,76
72,23
96,86
28,99
83,81
59,3
33,29
28,61
69,35
61,16
46,54
72,30
85,69
93,55
84,56
14,87
41,4
32,91
64,87
42,11
8,27
42,17
18,12
47,74
100,44
95,87
72,81
66,79
84,13
71,78
65,63
42,77
82,88
8,32
28,79
88,65
67,81
84,33
37,39
45,100
47,29
47,57
49,76
79,76
81,37
46,26
29,40
72,58
52,58
53,53
14,6
39,49
100,11
99,20
27,1
4,63
62,55
97,8
78,1
86,31
30,84
26,6
22,67
13,38
85,80
7,24
66,8
27,46
58,58
33,80
57,12
77,93
78,23
7,30
14,86
36,17
32,72
40,51
75,81
25,47
37,18
94,54
90,52
94,88
78,46
