x,y
40,5
74,16
4,84
96,76
92,94
33,40
6,59
45,99
11,53
12,30
65,15
48,13
86,44
11,28
26,79
67,5
99,50
17,67
44,7
24,41
63,27
90,81
86,71
4,96
34,96
28,80
42,6
75,50
15,18
67,23
40,83
6,33
34,25
79,56
84,70
27,42
4,89
40,71
37,48
89,56
47,57
36,10
79,36
30,33
100,38
9,87
67,89
61,91
31,15
43,72
40,64
21,32
92,59
97,33
47,37
13,46
80,42
34,29
84,48
63,75
90,51
42,7
90,99
35,6
20,86
48,14
68,82
58,99
29,22
19,2
86,86
59,50
17,46
21,84
84,25
27,34
7,64
83,4
55,88
67,77
51,49
51,82
85,45
99,31
100,31
33,57
53,95
70,76
99,76
25,92
50,66
88,38
45,73
28,77
27,75
29,67
70,61
23,48
2,54
38,10
