x,y
93,79
60,38
61,78
51,76
31,32
18,72
100,43
85,77
37,87
11,89
11,45
75,77
65,89
19,2
99,73
74,20
66,70
15,24
74,50
13,2
10,1
31,48
35,72
62,8
63,64
46,50
45,85
19,78
2,88
70,61
90,71
49,16
90,91
82,41
63,24
24,66
53,48
80,29
16,54
38,94
47,26
14,100
10,92
9,96
70,41
84,55
1,95
71,60
87,40
42,76
68,5
67,92
73,73
94,76
78,97
44,9
35,69
65,39
62,24
1,28
62,87
88,86
83,84
25,5
80,48
21,10
4,48
27,11
14,34
11,63
69,67
77,14
92,99
11,24
39,68
6,29
75,44
7,73
26,50
23,17
63,60
17,97
44,71
5,36
63,100
72,73
56,49
94,70
94,61
62,12
77,74
27,82
51,99
4,11
23,81
50,33
65,49
66,18
18,98
59,41
